Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2019/05/01 12:00:00 AM,2019/05/01,00:00,2019,Wednesday,2020/02/25 10:55:00 AM,90650205013,906502,200141381,200561463,II,Initial,,05013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,SAWYER ST \ RAYMOND AVE,20395000,Ingleside,Visitacion Valley,10,37.71498664723435,-122.41360092770947,"(37.71498664723435, -122.41360092770947)"
2020/03/15 07:11:00 PM,2020/03/15,19:11,2020,Sunday,2020/03/15 07:18:00 PM,91310205011,913102,200191110,200752527,II,Initial,,05011,Burglary,Burglary - Residential,"Burglary, Apartment House, Forcible Entry",Cite or Arrest Adult,GROVE ST \ DIVISADERO ST,26056000,Northern,Hayes Valley,5,37.775925404688664,-122.4379898491121,"(37.775925404688664, -122.4379898491121)"
2020/03/15 11:45:00 AM,2020/03/15,11:45,2020,Sunday,2020/03/15 11:55:00 AM,91304506244,913045,200190156,200751142,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,39TH AVE \ CLEMENT ST,27899000,Richmond,Lincoln Park,1,37.781327195293386,-122.4998705718611,"(37.781327195293386, -122.4998705718611)"
2020/03/15 10:15:00 AM,2020/03/15,10:15,2020,Sunday,2020/03/15 10:16:00 AM,91300615040,913006,200189892,200750900,II,Initial,,15040,Offences Against The Family And Children,Family Offenses,"Spouse, Cohabitee, Parent of Child in Common, Inflict Injury",Open or Active,REVERE AVE \ KEITH ST,20159000,Bayview,Bayview Hunters Point,10,37.73060610289242,-122.38829225932103,"(37.73060610289242, -122.38829225932103)"
2020/03/15 10:56:00 AM,2020/03/15,10:56,2020,Sunday,2020/03/15 11:04:00 AM,91301115052,913011,200189983,200751003,II,Initial,,15052,Offences Against The Family And Children,Family Offenses,"Child, Inflicting Injury Resulting in Traumatic Condition",Open or Active,QUESADA AVE \ LANE ST,20497000,Bayview,Bayview Hunters Point,10,37.73228996130427,-122.38960060074285,"(37.73228996130427, -122.38960060074285)"
2020/03/15 01:52:00 PM,2020/03/15,13:52,2020,Sunday,2020/03/15 04:55:00 PM,91308105153,913081,200190786,200752105,II,Initial,,05153,Burglary,Burglary - Other,"Burglary, Non-residential, Unlawful Entry",Cite or Arrest Adult,NOTTINGHAM PL \ KEARNY ST,24787000,Central,North Beach,3,37.797544592257616,-122.40540910168318,"(37.797544592257616, -122.40540910168318)"
2020/03/15 01:30:00 AM,2020/03/15,01:30,2020,Sunday,2020/03/15 06:30:00 PM,91311006111,913110,200191223,200752766,II,Initial,,06111,Larceny Theft,Larceny Theft - Pickpocket,"Theft, Pickpocket, <$50",Open or Active,MISSION ST \ LAFAYETTE ST,24364000,Southern,Mission,6,37.773474419099585,-122.41803023409047,"(37.773474419099585, -122.41803023409047)"
2020/03/15 04:24:00 AM,2020/03/15,04:24,2020,Sunday,2020/03/15 08:57:00 AM,91300105051,913001,200189842,200750616,II,Initial,,05051,Burglary,Burglary - Commercial,"Burglary, Store, Forcible Entry",Open or Active,02ND AVE \ GEARY BLVD,27231000,Richmond,Inner Richmond,1,37.7812134768322,-122.45999965931139,"(37.7812134768322, -122.45999965931139)"
2020/03/15 11:00:00 AM,2020/03/15,11:00,2020,Sunday,2020/03/15 01:15:00 PM,91303506244,913035,200190269,200751375,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,WALLER ST \ ASHBURY ST,26337000,Park,Haight Ashbury,5,37.76907435637729,-122.44674489491523,"(37.76907435637729, -122.44674489491523)"
2020/03/15 10:15:00 AM,2020/03/15,10:15,2020,Sunday,2020/03/15 11:41:00 AM,91300806244,913008,200190009,200751107,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,STEINER ST \ GROVE ST,26040000,Northern,Hayes Valley,5,37.776550121530626,-122.43302850011361,"(37.776550121530626, -122.43302850011361)"
2020/03/15 02:56:00 PM,2020/03/15,14:56,2020,Sunday,2020/03/15 02:57:00 PM,91312306240,913123,200190504,200751705,II,Initial,,06240,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, Att.",Open or Active,STOCKTON ST \ POST ST,24908000,Central,Financial District/South Beach,3,37.788499477941336,-122.4067711451779,"(37.788499477941336, -122.4067711451779)"
2020/03/15 04:00:00 AM,2020/03/15,04:00,2020,Sunday,2020/03/15 04:04:00 AM,91293705081,912937,200189717,200750325,II,Initial,,05081,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",Open or Active,CLEMENT ST \ 33RD AVE,27856000,Richmond,Lincoln Park,1,37.78162723776503,-122.49344634621305,"(37.78162723776503, -122.49344634621305)"
2020/03/15 06:38:00 PM,2020/03/15,18:38,2020,Sunday,2020/03/15 06:58:00 PM,91310415041,913104,200191085,200752480,II,Initial,,15041,Offences Against The Family And Children,Family Offenses,Elder Adult or Dependent Abuse (not Embezzlement or Theft),Cite or Arrest Adult,BLYTHDALE AVE \ SANTOS ST,20423000,Ingleside,Visitacion Valley,10,37.71073194458116,-122.41877184294184,"(37.71073194458116, -122.41877184294184)"
2020/03/15 06:00:00 PM,2020/03/15,18:00,2020,Sunday,2020/03/15 08:14:00 PM,91310806244,913108,200191198,200752708,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,FULTON ST \ LA PLAYA,27978000,Richmond,Outer Richmond,1,37.771396030943585,-122.50989475109745,"(37.771396030943585, -122.50989475109745)"
2020/03/15 06:00:00 AM,2020/03/15,06:00,2020,Sunday,2020/03/15 06:09:00 AM,91299005251,912990,200189745,200750450,II,Initial,,05251,Burglary,Burglary - Commercial,"Burglary, Safe,  Store",Open or Active,SAN BRUNO AVE \ WOOLSEY ST,33273000,Bayview,Portola,9,37.72523511065475,-122.40260041241011,"(37.72523511065475, -122.40260041241011)"
2019/03/15 11:58:00 AM,2019/03/15,11:58,2019,Friday,2020/03/15 12:08:00 PM,91302968000,913029,200190112,200751146,II,Initial,,68000,Fire Report,Fire Report,Fire Report,Open or Active,BOWLING GREEN DR \ NANCY PELOSI DR,27189000,Richmond,Golden Gate Park,1,37.77039934904093,-122.46010759360802,"(37.77039934904093, -122.46010759360802)"
2020/03/15 06:00:00 PM,2020/03/15,18:00,2020,Sunday,2020/03/15 09:30:00 PM,91312006243,913120,200191358,200752887,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,HARRISON ST \ HAWTHORNE ST,24515000,Southern,Financial District/South Beach,6,37.78344075224142,-122.39626240257512,"(37.78344075224142, -122.39626240257512)"
2020/03/15 03:00:00 PM,2020/03/15,15:00,2020,Sunday,2020/03/15 04:11:00 PM,91314507051,913145,200190651,200751943,II,Initial,,07051,Motor Vehicle Theft,Motor Vehicle Theft (Attempted),"Vehicle, Stolen, Attempted",Open or Active,SUTTER ST \ HYDE ST,25163000,Central,Nob Hill,3,37.78817788964108,-122.41682715547994,"(37.78817788964108, -122.41682715547994)"
2020/03/16 12:23:00 AM,2020/03/16,00:23,2020,Monday,2020/03/16 12:43:00 AM,91317105073,913171,200191580,200760059,II,Initial,,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,BRANNAN ST \ 05TH ST,23887000,Southern,South of Market,6,37.7765683819308,-122.39875545059135,"(37.7765683819308, -122.39875545059135)"
2020/03/15 05:30:00 PM,2020/03/15,17:30,2020,Sunday,2020/03/16 07:28:00 AM,91326106241,913261,200191784,200760516,II,Initial,,06241,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",Open or Active,MISSION ST \ RUSSIA AVE,21749000,Ingleside,Excelsior,11,37.721575000353845,-122.43714952548773,"(37.721575000353845, -122.43714952548773)"
2020/03/16 10:00:00 AM,2020/03/16,10:00,2020,Monday,2020/03/16 01:33:00 PM,91330806243,913308,200192447,200761701,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,SUTTER ST \ SANSOME ST,30048000,Central,Financial District/South Beach,3,37.790247403765534,-122.40055526483039,"(37.790247403765534, -122.40055526483039)"
2020/03/16 04:19:00 PM,2020/03/16,16:19,2020,Monday,2020/03/16 04:19:00 PM,91337605053,913376,200192895,200762297,II,Initial,,05053,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",Open or Active,VAN NESS AVE \ OAK ST,30705000,Tenderloin,Tenderloin,6,37.7754222198843,-122.41939688941916,"(37.7754222198843, -122.41939688941916)"
2020/03/16 01:00:00 PM,2020/03/16,13:00,2020,Monday,2020/03/16 04:10:00 PM,91334706243,913347,200192760,200762215,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,BALBOA ST \ GREAT HWY,28009000,Richmond,Outer Richmond,1,37.77507596005672,-122.51129492624534,"(37.77507596005672, -122.51129492624534)"
2020/03/15 12:00:00 AM,2020/03/15,00:00,2020,Sunday,2020/03/15 08:51:00 AM,91321806244,913218,206055041,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,FILBERT ST \ LARKIN ST,25561000,Central,Russian Hill,2,37.79990243551584,-122.42088263735474,"(37.79990243551584, -122.42088263735474)"
2020/03/16 06:30:00 PM,2020/03/16,18:30,2020,Monday,2020/03/16 08:08:00 PM,91339606244,913396,200193291,200763131,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ BAKER ST,27010000,Northern,Marina,2,37.801787342426636,-122.44660957715965,"(37.801787342426636, -122.44660957715965)"
2020/03/16 02:30:00 PM,2020/03/16,14:30,2020,Monday,2020/03/16 03:17:00 PM,91341405083,913414,200192986,200762072,II,Initial,,05083,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",Open or Active,GATES ST \ CORTLAND AVE,21081000,Ingleside,Bernal Heights,9,37.73893042324208,-122.41393770954934,"(37.73893042324208, -122.41393770954934)"
2020/03/15 10:00:00 AM,2020/03/15,10:00,2020,Sunday,2020/03/15 04:24:00 PM,91309005141,913090,200190714,200751987,II,Initial,,05141,Burglary,Burglary - Residential,"Burglary, Residence Under Constr, Forcible Entry",Cite or Arrest Adult,WESTGATE DR \ DARIEN WAY,22758000,Taraval,West of Twin Peaks,7,37.73092581302819,-122.46441157466448,"(37.73092581302819, -122.46441157466448)"
2020/03/16 05:11:00 PM,2020/03/16,17:11,2020,Monday,2020/03/16 06:29:00 PM,91337806244,913378,200193100,200762803,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GALILEE LN \ CLEARY CT \ LAGUNA ST,26513000,Northern,Western Addition,5,37.78392473449428,-122.42777887211062,"(37.78392473449428, -122.42777887211062)"
2020/03/15 06:49:00 PM,2020/03/15,18:49,2020,Sunday,2020/03/15 07:21:00 PM,91314626030,913146,200191104,200752458,II,Initial,,26030,Arson,Arson,Arson,Open or Active,CHURCH ST \ 18TH ST,25712000,Mission,Castro/Upper Market,8,37.7612895722579,-122.4283540660218,"(37.7612895722579, -122.4283540660218)"
2020/03/16 03:49:00 AM,2020/03/16,03:49,2020,Monday,2020/03/16 03:51:00 AM,91318105083,913181,200191671,200760277,II,Initial,,05083,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",Cite or Arrest Adult,PAGE ST \ CLAYTON ST,26415000,Park,Haight Ashbury,5,37.77073088286521,-122.4487679153858,"(37.77073088286521, -122.4487679153858)"
2020/03/16 07:30:00 PM,2020/03/16,19:30,2020,Monday,2020/03/16 07:45:00 PM,91339306243,913393,200193279,200763058,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,GEARY BLVD \ BEAUMONT AVE,26932000,Richmond,Lone Mountain/USF,1,37.78145866029815,-122.45528075030745,"(37.78145866029815, -122.45528075030745)"
2020/03/16 03:24:00 AM,2020/03/16,03:24,2020,Monday,2020/03/16 01:10:00 PM,91334805053,913348,200192453,200761624,II,Initial,,05053,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",Open or Active,HAIGHT ST \ MASONIC AVE,26342000,Park,Haight Ashbury,5,37.77021017395845,-122.44534499148274,"(37.77021017395845, -122.44534499148274)"
